1. Bulbasaur - Grass/Poison - HP: 45, Atk: 49, Def: 49, Sp.Atk: 65, Sp.Def: 65, Speed: 45
2. Ivysaur - Grass/Poison - HP: 60, Atk: 62, Def: 63, Sp.Atk: 80, Sp.Def: 80, Speed: 60
3. Venusaur - Grass/Poison - HP: 80, Atk: 82, Def: 83, Sp.Atk: 100, Sp.Def: 100, Speed: 80
4. Charmander - Fire - HP: 39, Atk: 52, Def: 43, Sp.Atk: 60, Sp.Def: 50, Speed: 65
5. Charmeleon - Fire - HP: 58, Atk: 64, Def: 58, Sp.Atk: 80, Sp.Def: 65, Speed: 80
6. Charizard - Fire/Flying - HP: 78, Atk: 84, Def: 78, Sp.Atk: 109, Sp.Def: 85, Speed: 100
7. Squirtle - Water - HP: 44, Atk: 48, Def: 65, Sp.Atk: 50, Sp.Def: 64, Speed: 43
8. Wartortle - Water - HP: 59, Atk: 63, Def: 80, Sp.Atk: 65, Sp.Def: 80, Speed: 58
9. Blastoise - Water - HP: 79, Atk: 83, Def: 100, Sp.Atk: 85, Sp.Def: 105, Speed: 78
10. Caterpie - Bug - HP: 45, Atk: 30, Def: 35, Sp.Atk: 20, Sp.Def: 20, Speed: 45
11. Metapod - Bug - HP: 50, Atk: 20, Def: 55, Sp.Atk: 25, Sp.Def: 25, Speed: 30
12. Butterfree - Bug/Flying - HP: 60, Atk: 45, Def: 50, Sp.Atk: 90, Sp.Def: 80, Speed: 70
13. Weedle - Bug/Poison - HP: 40, Atk: 35, Def: 30, Sp.Atk: 20, Sp.Def: 20, Speed: 50
14. Kakuna - Bug/Poison - HP: 45, Atk: 25, Def: 50, Sp.Atk: 25, Sp.Def: 25, Speed: 35
15. Beedrill - Bug/Poison - HP: 65, Atk: 90, Def: 40, Sp.Atk: 45, Sp.Def: 80, Speed: 75
16. Pidgey - Normal/Flying - HP: 40, Atk: 45, Def: 40, Sp.Atk: 35, Sp.Def: 35, Speed: 56
17. Pidgeotto - Normal/Flying - HP: 63, Atk: 60, Def: 55, Sp.Atk: 50, Sp.Def: 50, Speed: 71
18. Pidgeot - Normal/Flying - HP: 83, Atk: 80, Def: 75, Sp.Atk: 70, Sp.Def: 70, Speed: 101
19. Rattata - Normal - HP: 30, Atk: 56, Def: 35, Sp.Atk: 25, Sp.Def: 35, Speed: 72
20. Raticate - Normal - HP: 55, Atk: 81, Def: 60, Sp.Atk: 50, Sp.Def: 70, Speed: 97
21. Spearow - Normal/Flying - HP: 40, Atk: 60, Def: 30, Sp.Atk: 31, Sp.Def: 31, Speed: 70
22. Fearow - Normal/Flying - HP: 65, Atk: 90, Def: 65, Sp.Atk: 61, Sp.Def: 61, Speed: 100
23. Ekans - Poison - HP: 35, Atk: 60, Def: 44, Sp.Atk: 40, Sp.Def: 54, Speed: 55
24. Arbok - Poison - HP: 60, Atk: 95, Def: 69, Sp.Atk: 65, Sp.Def: 79, Speed: 80
25. Pikachu - Electric - HP: 35, Atk: 55, Def: 40, Sp.Atk: 50, Sp.Def: 50, Speed: 90
26. Raichu - Electric - HP: 60, Atk: 90, Def: 55, Sp.Atk: 90, Sp.Def: 80, Speed: 110
27. Sandshrew - Ground - HP: 50, Atk: 75, Def: 85, Sp.Atk: 20, Sp.Def: 30, Speed: 40
28. Sandslash - Ground - HP: 75, Atk: 100, Def: 110, Sp.Atk: 45, Sp.Def: 55, Speed: 65
29. Nidoran♀ - Poison - HP: 55, Atk: 47, Def: 52, Sp.Atk: 40, Sp.Def: 40, Speed: 41
30. Nidorina - Poison - HP: 70, Atk: 62, Def: 67, Sp.Atk: 55, Sp.Def: 55, Speed: 56
31. Nidoqueen - Poison/Ground - HP: 90, Atk: 92, Def: 87, Sp.Atk: 75, Sp.Def: 85, Speed: 76
32. Nidoran♂ - Poison - HP: 46, Atk: 57, Def: 40, Sp.Atk: 40, Sp.Def: 40, Speed: 50
33. Nidorino - Poison - HP: 61, Atk: 72, Def: 57, Sp.Atk: 55, Sp.Def: 55, Speed: 65
34. Nidoking - Poison/Ground - HP: 81, Atk: 102, Def: 77, Sp.Atk: 85, Sp.Def: 75, Speed: 85
35. Clefairy - Fairy - HP: 70, Atk: 45, Def: 48, Sp.Atk: 60, Sp.Def: 65, Speed: 35
36. Clefable - Fairy - HP: 95, Atk: 70, Def: 73, Sp.Atk: 95, Sp.Def: 90, Speed: 60
37. Vulpix - Fire - HP: 38, Atk: 41, Def: 40, Sp.Atk: 50, Sp.Def: 65, Speed: 65
38. Ninetales - Fire - HP: 73, Atk: 76, Def: 75, Sp.Atk: 81, Sp.Def: 100, Speed: 100
39. Jigglypuff - Normal/Fairy - HP: 115, Atk: 45, Def: 20, Sp.Atk: 45, Sp.Def: 25, Speed: 20
40. Wigglytuff - Normal/Fairy - HP: 140, Atk: 70, Def: 45, Sp.Atk: 85, Sp.Def: 50, Speed: 45
41. Zubat - Poison/Flying - HP: 40, Atk: 45, Def: 35, Sp.Atk: 30, Sp.Def: 40, Speed: 55
42. Golbat - Poison/Flying - HP: 75, Atk: 80, Def: 70, Sp.Atk: 65, Sp.Def: 75, Speed: 90
43. Oddish - Grass/Poison - HP: 45, Atk: 50, Def: 55, Sp.Atk: 75, Sp.Def: 65, Speed: 30
44. Gloom - Grass/Poison - HP: 60, Atk: 65, Def: 70, Sp.Atk: 85, Sp.Def: 75, Speed: 40
45. Vileplume - Grass/Poison - HP: 75, Atk: 80, Def: 85, Sp.Atk: 110, Sp.Def: 90, Speed: 50
